조사연도,노선명,시점이정,종점이정,개통연도,차로,1종,2종,3종,4종,5종,6종,7종,8종,9종,10종,11종,12종
2019,서해안선,3.9,6.3,1998,4,20326,709,2940,1191,1371,439,596,110,3,525,19,175
2019,서해안선,6.3,23.5,1998,4,25470,876,3680,1471,1713,525,735,149,3,649,25,207
2019,서해안선,23.5,26,2001,4,27790,939,4000,1587,1851,541,790,165,3,707,26,224
2019,서해안선,26,33.8,2001,4,10062,467,1063,683,760,302,244,24,0,101,1,35
2019,서해안선,33.8,58.1,2001,4,9307,404,1462,883,852,295,355,40,0,191,1,79
2019,서해안선,58.1,74.2,2001,4,10019,436,1559,934,905,310,376,42,0,194,2,81
2019,서해안선,74.2,76.9,2001,4,15951,870,2827,2132,1779,739,739,73,2,231,2,152
2019,서해안선,76.9,84.9,2001,4,16426,901,2884,2159,1797,738,750,71,2,239,2,149
2019,서해안선,84.9,94.7,2001,4,19832,743,2363,1614,1305,527,520,60,4,183,5,72
2019,서해안선,94.7,110.9,2001,4,15039,857,2413,1478,1970,412,1007,31,1,410,9,145
2019,서해안선,110.9,124.8,2001,4,16865,947,2740,1752,2403,489,1197,33,1,481,12,176
2019,서해안선,124.8,137.4,2001,4,18450,1047,2947,1831,2512,503,1240,41,1,496,14,171
2019,서해안선,137.4,145.8,1998,4,13389,753,2118,1310,1824,361,887,28,0,355,8,135
2019,서해안선,145.8,152,1998,4,24358,1434,3554,1578,3668,227,2103,10,7,939,34,229
2019,서해안선,152,161,1998,4,16729,719,2649,1222,2422,426,1379,64,1,596,3,162
2019,서해안선,161,172.9,2001,4,19447,836,3088,1445,2947,596,1596,95,2,717,4,190
2019,서해안선,172.9,181.6,2001,4,17563,764,2729,1268,2553,331,1382,43,4,684,4,173
2019,서해안선,181.6,193.6,2001,4,20117,525,1866,1217,1176,570,694,118,0,315,3,107
2019,서해안선,193.6,213.3,2001,4,20650,914,3117,1410,2932,210,1537,14,9,830,7,170
2019,서해안선,213.3,224.1,2001,4,20812,827,2613,1666,2359,520,1117,105,4,721,3,278
2019,서해안선,224.1,237.8,2001,4,24664,501,1927,913,844,434,422,84,3,221,1,65
2019,서해안선,237.8,248.5,2001,4,26853,1051,3389,2143,3062,647,1415,123,6,968,6,331
2019,서해안선,248.5,255.1,2001,4,43089,913,3484,2015,2083,1636,1345,197,6,498,3,1404
2019,서해안선,255.1,264.5,2001,6,50588,1287,4244,2921,2189,1222,1280,231,9,861,2,304
2019,서해안선,264.5,272.5,2000,6,48709,1822,7473,3782,3781,2312,2719,238,15,2519,89,584
2019,서해안선,272.5,285.2,2000,6,66635,2464,10161,5138,5167,3137,3769,326,18,3432,121,799
2019,서해안선,285.2,291.7,1994,6,68324,2592,13011,3821,5456,3411,4702,104,30,4811,256,974
2019,서해안선,291.7,299.5,1994,6,67127,696,6663,3783,3016,1346,1146,342,11,845,9,159
2019,서해안선,299.5,313.2,1994,6,72814,844,8456,5487,2698,1057,797,327,11,812,7,293
2019,서해안선,313.2,317.2,1994,8,82524,1705,13327,9361,5728,2227,1686,751,24,1614,12,637
